x,crit(x)
-11.28999999999979,85.51147368420888
-11.27999999999979,85.4332631578931
-11.26999999999979,85.35484210526151
-11.25999999999979,85.27621052631414
-11.24999999999979,85.19736842105098
-11.23999999999979,85.11831578947204
-11.22999999999979,85.03905263157729
-11.219999999999791,84.95957894736677
-11.209999999999791,84.87989473684044
-11.199999999999791,84.79999999999833
-11.189999999999792,84.71989473684044
-11.179999999999792,84.63957894736676
-11.169999999999792,84.55905263157727
-11.159999999999792,84.478315789472
-11.149999999999793,84.39736842105096
-11.139999999999793,84.31621052631411
-11.129999999999793,84.23484210526148
-11.119999999999793,84.15326315789305
-11.109999999999793,84.07147368420884
-11.099999999999794,83.98947368420883
-11.089999999999794,83.90726315789304
-11.079999999999794,83.82484210526147
-11.069999999999794,83.7422105263141
-11.059999999999794,83.65936842105093
-11.049999999999795,83.57631578947198
-11.039999999999795,83.49305263157724
-11.029999999999795,83.40957894736671
-11.019999999999795,83.3258947368404
-11.009999999999796,83.24199999999828
-10.999999999999796,83.15789473684039
-10.989999999999796,83.0735789473667
-10.979999999999796,82.98905263157722
-10.969999999999796,82.90431578947197
-10.959999999999797,82.81936842105091
-10.949999999999797,82.73421052631406
-10.939999999999797,82.64884210526142
-10.929999999999797,82.563263157893
-10.919999999999797,82.47747368420879
-10.909999999999798,82.39147368420879
-10.899999999999798,82.305263157893
-10.889999999999798,82.21884210526142
-10.879999999999798,82.13221052631404
-10.869999999999798,82.04536842105088
-10.859999999999799,81.95831578947194
-10.849999999999799,81.8710526315772
-10.8399999999998,81.78357894736666
-10.8299999999998,81.69589473684034
-10.8199999999998,81.60799999999824
-10.8099999999998,81.51989473684034
-10.7999999999998,81.43157894736666
-10.7899999999998,81.34305263157718
-10.7799999999998,81.25431578947192
-10.7699999999998,81.16536842105086
-10.7599999999998,81.07621052631401
-10.749999999999801,80.98684210526139
-10.739999999999801,80.89726315789297
-10.729999999999801,80.80747368420874
-10.719999999999802,80.71747368420874
-10.709999999999802,80.62726315789295
-10.699999999999802,80.53684210526137
-10.689999999999802,80.446210526314
-10.679999999999803,80.35536842105084
-10.669999999999803,80.2643157894719
-10.659999999999803,80.17305263157715
-10.649999999999803,80.08157894736662
-10.639999999999803,79.98989473684031
-10.629999999999804,79.8979999999982
-10.619999999999804,79.8058947368403
-10.609999999999804,79.71357894736661
-10.599999999999804,79.62105263157714
-10.589999999999804,79.52831578947188
-10.579999999999805,79.43536842105082
-10.569999999999805,79.34221052631398
-10.559999999999805,79.24884210526135
-10.549999999999805,79.15526315789292
-10.539999999999806,79.0614736842087
-10.529999999999806,78.9674736842087
-10.519999999999806,78.87326315789291
-10.509999999999806,78.77884210526133
-10.499999999999806,78.68421052631396
-10.489999999999807,78.5893684210508
-10.479999999999807,78.49431578947186
-10.469999999999807,78.3990526315771
-10.459999999999807,78.30357894736659
-10.449999999999807,78.20789473684027
-10.439999999999808,78.11199999999816
-10.429999999999808,78.01589473684027
-10.419999999999808,77.91957894736657
-10.409999999999808,77.8230526315771
-10.399999999999809,77.72631578947184
-10.389999999999809,77.62936842105078
-10.379999999999809,77.53221052631393
-10.36999999999981,77.43484210526131
-10.35999999999981,77.33726315789288
-10.34999999999981,77.23947368420866
-10.33999999999981,77.14147368420866
-10.32999999999981,77.04326315789288
-10.31999999999981,76.94484210526129
-10.30999999999981,76.84621052631393
-10.29999999999981,76.74736842105077
-10.28999999999981,76.64831578947181
-10.279999999999811,76.54905263157707
-10.269999999999811,76.44957894736655
-10.259999999999811,76.34989473684023
-10.249999999999812,76.24999999999812
-10.239999999999812,76.14989473684022
-10.229999999999812,76.04957894736654
-10.219999999999812,75.94905263157706
-10.209999999999813,75.8483157894718
-10.199999999999813,75.74736842105075
-10.189999999999813,75.64621052631391
-10.179999999999813,75.54484210526127
-10.169999999999813,75.44326315789284
-10.159999999999814,75.34147368420864
-10.149999999999814,75.23947368420863
-10.139999999999814,75.13726315789285
-10.129999999999814,75.03484210526126
-10.119999999999814,74.9322105263139
-10.109999999999815,74.82936842105073
-10.099999999999815,74.72631578947178
-10.089999999999815,74.62305263157704
-10.079999999999815,74.51957894736651
-10.069999999999816,74.4158947368402
-10.059999999999816,74.3119999999981
-10.049999999999816,74.20789473684019
-10.039999999999816,74.1035789473665
-10.029999999999816,73.99905263157703
-10.019999999999817,73.89431578947176
-10.009999999999817,73.78936842105071
-9.999999999999817,73.68421052631386
-9.989999999999817,73.57898496240409
-9.979999999999817,73.47383458646425
-9.969999999999818,73.36875939849433
-9.959999999999818,73.26375939849433
-9.949999999999818,73.15883458646427
-9.939999999999818,73.05398496240412
-9.929999999999819,72.94921052631389
