cycle,nb preys (ref),nb predators (ref),nb preys (target),nb predators (target),parameter α,parameter α action,helped obj,expected variation,obj preys nb criticality,obj predators nb criticality
51,109.72206222294214,71.50672310011528,115.37244381306529,70.14991466882078,0.05,0.0,null,NaN,5.490835549692491,1.6265786736056356
52,107.41893861986826,70.91653999081467,113.09897524322989,69.649813725591,0.05,0.0,null,NaN,5.490835549692491,1.6265786736056356
53,105.22767017944969,70.29962802297388,110.9272925658074,69.12254656510135,0.05,0.0,null,NaN,5.490835549692491,1.6265786736056356
54,103.14599181239309,69.65831438620555,108.85607510099743,68.57017277155626,0.05,0.0,null,NaN,5.710083288604338,1.0881416146492882
55,101.17149426948174,68.99486281517687,106.88380535200369,67.99471580425813,0.05,0.0,null,NaN,5.710083288604338,1.0881416146492882
56,99.30166145249939,68.31146688359259,105.00880461789936,67.39815528990621,0.05,0.0,null,NaN,5.710083288604338,1.0881416146492882
57,97.53390366379742,67.61024464379173,103.22926550793952,66.78242048866103,0.05,0.0,null,NaN,5.710083288604338,1.0881416146492882
58,95.86558700400067,66.89323449189195,101.5432814117343,66.14938485824489,0.05,0.0,null,NaN,5.710083288604338,1.0881416146492882
59,94.29405915634379,66.16239213847415,99.94887302096784,65.5008616352122,0.05,0.0,null,NaN,5.710083288604338,1.0881416146492882
60,92.81667181428995,65.41958856722283,98.44401202993146,64.83860034979793,0.05,0.0,null,NaN,5.62734021564151,0.5809882174249026
61,91.43080001823756,64.66660886819159,97.02664216520984,64.164284190059,0.05,0.0,null,NaN,5.62734021564151,0.5809882174249026
62,90.13385866897924,63.90515183798388,95.6946977105761,63.47952813198435,0.05,0.0,null,NaN,5.62734021564151,0.5809882174249026
63,88.92331648165381,63.13683024571867,94.44611970263986,62.785877754531334,0.05,0.0,null,NaN,5.62734021564151,0.5809882174249026
64,87.7967076355743,62.36317167084958,93.2788699771114,62.08480866185011,0.05,0.0,null,NaN,5.62734021564151,0.5809882174249026
65,86.7516413636782,61.585619826435874,92.19094324565313,61.377726439009514,0.05,0.0,null,NaN,5.62734021564151,0.5809882174249026
66,85.7858097114054,60.80553628909606,91.18037738005778,60.665967072110625,0.05,0.0,null,NaN,5.394567668652371,0.13956921698543567
67,84.8969936793965,60.024202564437935,90.24526207469307,59.95079776858441,0.05,0.0,null,NaN,5.394567668652371,0.13956921698543567
68,84.08306794814523,59.24282242408574,89.38374605041093,59.23341811852683,0.05,0.0,null,NaN,5.394567668652371,0.13956921698543567
69,83.34200436621218,58.462524457450236,88.59404295404372,58.514961543036456,0.05,0.0,null,NaN,5.394567668652371,0.13956921698543567
70,82.6718743671857,57.684364788005816,87.87443609763082,57.796496980547,0.05,0.0,null,NaN,5.394567668652371,0.13956921698543567
71,82.0708504645922,56.90932991002151,87.22328217103717,57.079030767031746,0.05,0.0,null,NaN,5.394567668652371,0.13956921698543567
72,81.53720695863389,56.13833960740647,86.6390140509519,56.3635086706265,0.05,0.0,null,NaN,5.101807092318012,0.2251690632200294
73,81.06931997413511,55.37224992156633,86.12014281862746,55.65081804563666,0.05,0.0,null,NaN,5.101807092318012,0.2251690632200294
74,80.66566693549312,54.61185613992958,85.66525908833776,54.94179007503178,0.05,0.0,null,NaN,5.101807092318012,0.2251690632200294
75,80.32482557183553,53.857895781100055,85.27303373852062,54.237202074368504,0.05,0.0,null,NaN,5.101807092318012,0.2251690632200294
76,80.04547253398114,53.111051556448764,84.94221812804692,53.53777983362008,0.05,0.0,null,NaN,5.101807092318012,0.2251690632200294
77,79.826381694196,52.3719542913943,84.67164387107086,52.84419997662098,0.05,0.0,null,NaN,5.101807092318012,0.2251690632200294
78,79.66642219009482,51.641185792666285,84.46022223552336,52.15709232077201,0.05,0.0,null,NaN,4.79380004542854,0.5159065281057238
79,79.56455626531655,50.9192816505294,84.30694322251284,51.47704222230049,0.05,0.0,null,NaN,4.79380004542854,0.5159065281057238
80,79.51983695175798,50.206733967296294,84.21087437671193,50.804592894748986,0.05,0.0,null,NaN,4.79380004542854,0.5159065281057238
81,79.53140563111099,49.503994005505184,84.17115937121446,50.14024769048937,0.05,0.0,null,NaN,4.79380004542854,0.5159065281057238
82,79.59848950716616,48.81147475091201,84.18701640432546,49.48447233694528,0.05,0.0,null,NaN,4.79380004542854,0.5159065281057238
83,79.72039901474405,48.12955338697497,84.25773644026975,48.83769712087138,0.05,0.0,null,NaN,4.79380004542854,0.5159065281057238
84,79.89652518614285,47.458573678817125,84.38268132084355,48.20031901550241,0.05,0.0,null,NaN,4.486156134700693,0.741745336685284
85,80.1263369915787,46.79884826576417,84.56128177054399,47.572703746666704,0.05,0.0,null,NaN,4.486156134700693,0.741745336685284
86,80.4093786661876,46.15066086249418,84.7930353136689,46.955187795070856,0.05,0.0,null,NaN,4.486156134700693,0.741745336685284
87,80.745267032699,45.51426836962184,85.07750411823456,46.34808033292811,0.05,0.0,null,NaN,4.486156134700693,0.741745336685284
88,81.13368882583303,44.88990289519276,85.41431277828406,45.75166509393052,0.05,0.0,null,NaN,4.486156134700693,0.741745336685284
89,81.57439802176175,44.2777736890995,85.80314604321595,45.16620217627438,0.05,0.0,null,NaN,4.486156134700693,0.741745336685284
90,82.06721317357176,43.67806899286577,86.24374650011681,44.59192977904971,0.05,0.0,null,NaN,4.176533326545055,0.913860786183939
91,82.61201475152735,43.09095780759213,86.73591221269929,44.029065872810676,0.05,0.0,null,NaN,4.176533326545055,0.913860786183939
92,83.20874248502764,42.51659158312871,87.27949431830673,43.477809805567595,0.05,0.0,null,NaN,4.176533326545055,0.913860786183939
93,83.85739270143829,41.95510583174735,87.87439458250604,42.93834384578964,0.05,0.0,null,NaN,4.176533326545055,0.913860786183939
94,84.55801565543726,41.40662166973738,88.52056290904096,42.41083466429226,0.05,0.0,null,NaN,4.176533326545055,0.913860786183939
95,85.31071284111191,40.87124729045449,89.21799480132515,41.89543475711205,0.05,0.0,null,NaN,4.176533326545055,0.913860786183939
96,86.11563427776106,40.34907937241831,89.9667287701996,41.39228381165046,0.05,0.0,null,NaN,3.851094492438534,1.0432044392321487
97,86.97297575916832,39.840204426085755,90.76684368134879,40.901510018504126,0.05,0.0,null,NaN,3.851094492438534,1.0432044392321487
98,87.88297605500742,39.34470008293281,91.61845603453868,40.42323133149978,0.05,0.0,null,NaN,3.851094492438534,1.0432044392321487
99,88.84591405199227,38.862636330458386,92.52171716570103,39.957556678517584,0.05,0.0,null,NaN,3.851094492438534,1.0432044392321487
100,89.86210582139306,38.394076696686355,93.4768103618243,39.50458712572826,0.05,0.0,null,NaN,3.851094492438534,1.0432044392321487
101,90.93190159857838,37.93907938768808,94.48394787761303,39.06441699788187,0.05,0.0,null,NaN,3.851094492438534,1.0432044392321487
102,92.0556826593164,37.497698381581486,95.54336784193424,38.63713495728322,0.05,0.0,null,NaN,3.487685182617838,1.1394365757017368
